"path","netid","size","Database"
"/gfs70/users/s/m/smower","smower","54071988","DAG1-DB001"
"/gfs72/users/a/k/akaufma2","akaufma2","1577028","DAG1-DB001"
"/gfs70/users/r/d/rddrago","rddrago","1405576","DAG1-DB001"
"/gfs73/users/j/a/jaodonne","jaodonne","1206436","DAG1-DB001"
"/gfs70/users/t/w/twurzbur","twurzbur","1062244","DAG1-DB001"
"/gfs70/users/s/a/samin","samin","931500","DAG1-DB001"
"/gfs63/users/k/a/kalynch","kalynch","840016","DAG1-DB001"
"/gfs62/users/b/a/bahamilt","bahamilt","785728","DAG1-DB001"
"/gfs73/users/w/n/wnedds","wnedds","717696","DAG1-DB001"
"/gfs62/users/e/l/elbates","elbates","624680","DAG1-DB001"
"/gfs71/users/m/e/mewinter","mewinter","578664","DAG1-DB001"
"/gfs60/users/a/r/aros","aros","549948","DAG1-DB001"
"/gfs62/users/c/a/caesca","caesca","477960","DAG1-DB001"
"/gfs62/users/c/f/cfranco","cfranco","466624","DAG1-DB001"
"/gfs70/users/t/k/tkinns","tkinns","405280","DAG1-DB001"
"/gfs70/users/s/r/srentas","srentas","395736","DAG1-DB001"
"/gfs70/users/s/l/slgross","slgross","352584","DAG1-DB001"
"/gfs73/users/t/f/tfaccio","tfaccio","337900","DAG1-DB001"
"/gfs60/users/k/s/ksteffen","ksteffen","306876","DAG1-DB001"
"/gfs63/users/l/h/lhendric","lhendric","294280","DAG1-DB001"
"/gfs70/users/x/c/xcao","xcao","268648","DAG1-DB001"
"/gfs70/users/s/f/sfenster","sfenster","262784","DAG1-DB001"
"/gfs72/users/a/n/anorman1","anorman1","231016","DAG1-DB001"
"/gfs62/users/g/s/gsans","gsans","223488","DAG1-DB001"
"/gfs70/users/p/b/pbeebe","pbeebe","211688","DAG1-DB001"
"/gfs62/users/b/h/bhershey","bhershey","200864","DAG1-DB001"
"/gfs62/users/e/l/eloo","eloo","188476","DAG1-DB001"
"/gfs60/users/k/s/kstucke","kstucke","176756","DAG1-DB001"
"/gfs60/users/a/j/ajones17","ajones17","168856","DAG1-DB001"
"/gfs70/users/s/m/smille30","smille30","161864","DAG1-DB001"
"/gfs72/users/a/s/aschuelk","aschuelk","149160","DAG1-DB001"
"/gfs70/users/s/b/sbrahmst","sbrahmst","145592","DAG1-DB001"
"/gfs62/users/c/l/cluisi","cluisi","135356","DAG1-DB001"
"/gfs60/users/a/j/ajdegen","ajdegen","131992","DAG1-DB001"
"/gfs72/users/k/t/ktedesch","ktedesch","121832","DAG1-DB001"
"/gfs70/users/s/f/sfarrel5","sfarrel5","119024","DAG1-DB001"
"/gfs72/users/m/g/mgreen","mgreen","109320","DAG1-DB001"
"/gfs63/users/j/h/jhendley","jhendley","107504","DAG1-DB001"
"/gfs61/users/c/m/cmlyon","cmlyon","100280","DAG1-DB001"
"/gfs61/users/c/g/cgunders","cgunders","97952","DAG1-DB001"
"/gfs60/users/h/c/hcurell","hcurell","90088","DAG1-DB001"
"/gfs62/users/b/w/bwcurran","bwcurran","88068","DAG1-DB001"
"/gfs72/users/c/h/chemgrad","chemgrad","81856","DAG1-DB001"
"/gfs71/users/m/m/mmucklow","mmucklow","79836","DAG1-DB001"
"/gfs73/users/n/c/nchitten","nchitten","74108","DAG1-DB001"
"/gfs62/users/d/c/dcrandal","dcrandal","71820","DAG1-DB001"
"/gfs60/users/g/n/gnaro","gnaro","66776","DAG1-DB001"
"/gfs63/users/k/o/kowillia","kowillia","65224","DAG1-DB001"
"/gfs62/users/d/n/dneupane","dneupane","60516","DAG1-DB001"
"/gfs70/users/s/s/sscski","sscski","58812","DAG1-DB001"
"/gfs73/users/m/c/mcampagn","mcampagn","54668","DAG1-DB001"
"/gfs70/users/v/l/vlyle","vlyle","53320","DAG1-DB001"
"/gfs60/users/a/v/avidalka","avidalka","49272","DAG1-DB001"
"/gfs71/users/l/p/lpontius","lpontius","47536","DAG1-DB001"
"/gfs63/users/j/m/jmaher2","jmaher2","45464","DAG1-DB001"
"/gfs62/users/c/a/capomera","capomera","42300","DAG1-DB001"
"/gfs70/users/s/m/smpomero","smpomero","40916","DAG1-DB001"
"/gfs70/users/r/t/rtrembla","rtrembla","38216","DAG1-DB001"
"/gfs72/users/a/m/amatthe3","amatthe3","36732","DAG1-DB001"
"/gfs71/users/m/e/merobbin","merobbin","34168","DAG1-DB001"
"/gfs70/users/o/a/oaraujom","oaraujom","33596","DAG1-DB001"
"/gfs70/users/o/g/ogacutan","ogacutan","30116","DAG1-DB001"
"/gfs73/users/m/a/masherid","masherid","29964","DAG1-DB001"
"/gfs64/users/y/t/ytian2","ytian2","27060","DAG1-DB001"
"/gfs71/users/z/h/zhou","zhou","26672","DAG1-DB001"
"/gfs63/users/l/t/ltaveras","ltaveras","24504","DAG1-DB001"
"/gfs62/users/b/r/brtucker","brtucker","23688","DAG1-DB001"
"/gfs71/users/l/k/lkahr","lkahr","22140","DAG1-DB001"
"/gfs70/users/t/s/tsulliv7","tsulliv7","20788","DAG1-DB001"
"/gfs73/users/j/b/jbhutchi","jbhutchi","19440","DAG1-DB001"
"/gfs70/users/s/d/sdavis9","sdavis9","18268","DAG1-DB001"
"/gfs71/users/m/t/mttripp","mttripp","17028","DAG1-DB001"
"/gfs63/users/j/w/jwang28","jwang28","16252","DAG1-DB001"
"/gfs71/users/r/z/rzabinsk","rzabinsk","15040","DAG1-DB001"
"/gfs60/users/c/c/cchen11","cchen11","14176","DAG1-DB001"
"/gfs62/users/b/o/boseiboa","boseiboa","12996","DAG1-DB001"
"/gfs62/users/i/b/ibatista","ibatista","12408","DAG1-DB001"
"/gfs72/users/a/f/aferrero","aferrero","11256","DAG1-DB001"
"/gfs63/users/p/b/pberry2","pberry2","10756","DAG1-DB001"
"/gfs63/users/j/m/jmlcuch","jmlcuch","9764","DAG1-DB001"
"/gfs60/users/n/a/naddo","naddo","9556","DAG1-DB001"
"/gfs63/users/l/s/lshanny","lshanny","8368","DAG1-DB001"
"/gfs73/users/m/a/macarr","macarr","8316","DAG1-DB001"
"/gfs72/users/p/m/pmccue","pmccue","7228","DAG1-DB001"
"/gfs70/users/s/h/share","share","7036","DAG1-DB001"
"/gfs71/users/m/j/mjfarbma","mjfarbma","6404","DAG1-DB001"
"/gfs63/users/k/m/kmorancy","kmorancy","5996","DAG1-DB001"
"/gfs61/users/a/a/aallen6","aallen6","5496","DAG1-DB001"
"/gfs62/users/b/a/bacollin","bacollin","5216","DAG1-DB001"
"/gfs70/users/s/d/sdubos","sdubos","4956","DAG1-DB001"
"/gfs72/users/a/l/alsimpso","alsimpso","4428","DAG1-DB001"
"/gfs60/users/k/s/kstoecke","kstoecke","4164","DAG1-DB001"
"/gfs73/users/m/c/mcrobins","mcrobins","3900","DAG1-DB001"
"/gfs62/users/b/h/bhallowe","bhallowe","3636","DAG1-DB001"
"/gfs63/users/j/l/jlewis3","jlewis3","3312","DAG1-DB001"
"/gfs62/users/e/c/ecarr2","ecarr2","3236","DAG1-DB001"
"/gfs72/users/a/p/apeel","apeel","2852","DAG1-DB001"
"/gfs63/users/l/a/lannino","lannino","2688","DAG1-DB001"
"/gfs70/users/t/s/tsmith23","tsmith23","2640","DAG1-DB001"
"/gfs71/users/w/s/wsdunn","wsdunn","2384","DAG1-DB001"
"/gfs62/users/c/a/cacote","cacote","2316","DAG1-DB001"
"/gfs63/users/k/c/kcbolton","kcbolton","2088","DAG1-DB001"
"/gfs63/users/j/w/jwood10","jwood10","2040","DAG1-DB001"
"/gfs60/users/c/b/cblattsp","cblattsp","1840","DAG1-DB001"
"/gfs62/users/e/f/efmoore","efmoore","1780","DAG1-DB001"
"/gfs73/users/t/e/techteam","techteam","1612","DAG1-DB001"
"/gfs62/users/g/s/gstein2","gstein2","1560","DAG1-DB001"
"/gfs62/users/g/a/gawillia","gawillia","1420","DAG1-DB001"
"/gfs60/users/a/j/ajagnari","ajagnari","1376","DAG1-DB001"
"/gfs63/users/j/g/jgates1","jgates1","1216","DAG1-DB001"
"/gfs63/users/l/b/lbarbers","lbarbers","1180","DAG1-DB001"
"/gfs63/users/k/n/knolan2","knolan2","1056","DAG1-DB001"
"/gfs61/users/e/n/envprog","envprog","1028","DAG1-DB001"
"/gfs62/users/b/d/bdjensen","bdjensen","892","DAG1-DB001"
"/gfs70/users/9/7/97anels1","97anels1","876","DAG1-DB001"
"/gfs63/users/k/o/kodonne9","kodonne9","764","DAG1-DB001"
"/gfs72/users/a/d/adikos","adikos","748","DAG1-DB001"
"/gfs62/users/i/c/icrane","icrane","640","DAG1-DB001"
